Title,Author,Number of Pages,Date Read,Date Added,Exclusive Shelf
"Satantango (Apocalypse Quartet, #1)",László Krasznahorkai,274,,2024/09/22,to-read
Eleven Kinds of Loneliness,Richard Yates,230,,2024/09/20,to-read
The Inseparables,Simone de Beauvoir,,,2024/09/15,to-read
Golem XIV,Stanisław Lem,165,,2024/09/01,to-read
In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,430,,2024/08/19,to-read
I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,368,,2024/08/14,to-read
The House of the Spirits,Isabel Allende,512,,2022/07/04,currently-reading
"The Rigor of Angels: Borges, Heisenberg, Kant, and the Ultimate Nature of Reality",William Egginton,368,,2024/08/14,to-read
When We Cease to Understand the World,Benjamín Labatut,193,2024/08/14,2024/06/02,read
Slaughterhouse-Five,Kurt Vonnegut Jr.,275,2024/07/21,2021/07/03,read
The Corrections,Jonathan Franzen,653,,2024/07/19,to-read
Dubliners,James Joyce,352,,2024/07/17,to-read
"Berlin Diaries, 1940-1945",Marie Vassiltchikov,324,,2024/06/23,currently-reading
Adriatic: A Concert of Civilizations at the End of the Modern Age,Robert D. Kaplan,368,,2024/06/23,currently-reading
Wittgenstein and Modernism,Michael Lemahieu,336,,2024/06/16,to-read
The Sacred Conspiracy: The Internal Papers of the Secret Society of Acéphale and Lectures to the College of Sociology,Georges Bataille,480,,2024/06/15,to-read
De dubbelganger,Fyodor Dostoevsky,,2024/05/06,2024/04/25,read
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,233,,2024/04/25,read
Under a Glass Bell,Anaïs Nin,101,,2024/04/22,to-read
"The Peasants: Autumn (Peasants, #1)",Władysław Stanisław Reymont,261,,2024/04/22,to-read
The Beauty of the Husband: A Fictional Essay in 29 Tangos,Anne Carson,160,,2024/03/28,to-read
The Thirst for Annihilation: Georges Bataille and Virulent Nihilism (An Essay in Atheistic Religion),Nick Land,248,,2024/03/26,to-read
De tienduizend dingen,Maria Dermoût,255,,2024/03/16,to-read
Blood Music,Greg Bear,344,2024/02/29,2024/02/15,read
I've Been Thinking,Daniel C. Dennett,451,,2024/02/16,to-read
Metamodernism: The Future of Theory,Jason Ānanda Josephson Storm,328,,2024/02/10,to-read
The Latecomer,Jean Hanff Korelitz,439,2024/02/07,2024/01/28,read
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,472,,2024/02/06,to-read
The Blind Spot: Why Science Cannot Ignore Human Experience,Adam Frank,328,,2024/02/06,to-read
The Maniac,Benjamín Labatut,368,2024/01/22,2024/01/22,read
The Eye of the Master: A Social History of Artificial Intelligence,Matteo Pasquinelli,272,,2023/12/27,to-read
Francis Bacon: The Logic of Sensation,Gilles Deleuze,224,,2023/12/27,to-read
The Paris Bookseller,Kerri Maher,336,2023/12/27,2023/12/27,read
Magnificent Rebels: The First Romantics and the Invention of the Self,Andrea Wulf,512,,2023/12/17,to-read
A Spy in the House of Love (Cities of the Interior),Anaïs Nin,156,2023/12/03,2023/08/01,read
"Omnicide: Mania, Fatality, and the Future-in-Delirium (Urbanomic / Sequence Press)",Jason Bahbak Mohaghegh,600,,2023/11/11,to-read
Euphoria,Elin Cullhed,304,2023/11/09,2023/01/13,read
"The Claim of Reason: Wittgenstein, Skepticism, Morality, and Tragedy",Stanley Cavell,544,,2023/11/04,to-read
The Symbolic Species: The Co-evolution of Language and the Brain,Terrence W. Deacon,528,,2023/10/08,to-read
Ludwig Wittgenstein: The Duty of Genius,Ray Monk,704,2023/09/21,2022/07/07,read
Solaris,Stanisław Lem,204,2023/07/25,2023/07/12,read
De stille kracht,Louis Couperus,249,,2023/07/14,to-read
Orlando,Virginia Woolf,336,2023/06/23,2023/06/23,read
Le chant du monde,Jean Giono,288,,2023/06/18,to-read
Masochism: Coldness and Cruelty & Venus in Furs,Gilles Deleuze,296,,2023/06/05,to-read
Under the Volcano,Malcolm Lowry,423,,2023/05/29,to-read
The Waves,Virginia Woolf,297,2023/05/28,2023/03/19,read
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,540,,2023/03/25,to-read
The Demon in the Machine: How Hidden Webs of Information Are Solving the Mystery of Life,Paul C.W. Davies,320,,2023/03/25,currently-reading
Memoir of a Russian Punk,Eduard Limonov,312,,2023/02/13,to-read
Limonov,Emmanuel Carrère,489,2023/02/13,2023/02/13,read
The Mind of a Bee,Lars Chittka,272,,2022/04/25,currently-reading
Life Is Everywhere,Lucy Ives,400,,2022/12/02,to-read
Curious Minds: The Power of Connection,Perry Zurn,312,,2022/11/26,to-read
Unflattening,Nick Sousanis,208,,2022/10/22,to-read
EVERYTHING FLOWS:TOWARDS A PROCESSUAL PHILOSOPHY OF BIOLOGY CLOTH,Nicholson,404,,2022/10/16,to-read
Identity,Milan Kundera,176,2022/10/15,2022/10/05,read
The Ontogeny of Information: Developmental Systems and Evolution (Science and Cultural Theory),Susan Oyama,296,,2022/10/11,to-read
Underland: A Deep Time Journey,Robert Macfarlane,496,,2022/10/09,to-read
"Deleuze, Whitehead, Bergson: Rhizomatic Connections",Keith   Robinson,247,,2022/10/09,to-read
"Deleuze, Bergson, Merleau-Ponty: The Logic and Pragmatics of Creation, Affective Life, and Perception",Dorothea E Olkowski,170,,2022/10/09,to-read
The World of Perception,Maurice Merleau-Ponty,125,2022/10/05,2022/10/05,read
Modes of Thought,Alfred North Whitehead,189,,2022/10/05,to-read
The Brothers Karamazov,Fyodor Dostoevsky,796,,2022/09/21,to-read
Introduction to Mathematical Philosophy,Bertrand Russell,224,,2022/09/21,to-read
The Stranger,Albert Camus,123,2022/09/10,2021/07/03,read
The Odyssey,Homer,541,,2021/07/03,to-read
Lapvona,Ottessa Moshfegh,313,,2022/08/22,currently-reading
Circe,Madeline Miller,393,2022/02/10,2022/09/10,read
A Little Life,Hanya Yanagihara,736,,2022/09/10,to-read
Understanding Computers and Cognition: A New Foundation for Design,Terry Winograd,207,,2022/09/04,to-read
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,427,,2022/09/03,to-read
Narcissus and Goldmund,Hermann Hesse,315,,2022/08/26,to-read
Siddhartha,Hermann Hesse,152,,2022/08/26,to-read
When Nietzsche Wept,Irvin D. Yalom,310,2022/08/26,2022/08/23,read
Perspectival Realism (Oxford Studies in Philosophy of Science),Michela Massimi,430,,2022/08/26,to-read
Serotonin,Michel Houellebecq,337,,2022/08/23,to-read
Nausea,Jean-Paul Sartre,178,,2022/08/23,to-read
The Joke,Milan Kundera,371,,2022/08/23,to-read
Perfume: The Story of a Murderer,Patrick Süskind,263,,2021/07/03,read
My Year of Rest and Relaxation,Ottessa Moshfegh,289,2022/07/24,2022/08/23,read
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,352,,2021/07/03,currently-reading
The Bell Jar,Sylvia Plath,294,2022/07/26,2022/04/25,read
One Hundred Years of Solitude,Gabriel García Márquez,417,2022/08/15,2022/07/01,read
The Spike: An Epic Journey Through the Brain in 2.1 Seconds,Mark   Humphries,232,,2022/07/07,to-read
Being You: A New Science of Consciousness,Anil Seth,352,,2022/07/07,to-read
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,142,2022/07/07,2021/07/03,read
The Hare With Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,368,2022/07/01,2022/07/01,read
Nooit meer slapen,Willem Frederik Hermans,251,,2022/07/01,read
De Toverberg,Thomas Mann,928,,2022/07/01,currently-reading
"Models of the Mind: How Physics, Engineering and Mathematics Have Shaped Our Understanding of the Brain",Grace  Lindsay,400,,2021/07/03,read
Lolita,Vladimir Nabokov,368,,2021/07/03,read
The Great Gatsby,F. Scott Fitzgerald,180,,2021/07/03,read
The Spell of the Sensuous: Perception and Language in a More-Than-Human World,David Abram,368,,2022/04/23,currently-reading
The Brain in Search of Itself: Santiago Ramón Y Cajal and the Story of the Neuron,Benjamin Ehrlich,464,,2022/06/02,to-read
WILLIAMSON:KNOWLEDGE & ITS LIMITS PAPER,Timothy Williamson,353,,2022/05/04,to-read
"Imaginary Languages: Myths, Utopias, Fantasies, Illusions, and Linguistic Fictions",Marina Yaguello,352,,2022/04/25,to-read
Optima for Animals: Revised Edition,R. McNeill Alexander,176,,2022/04/25,to-read
From Signal to Symbol: The Evolution of Language (Life and Mind: Philosophical Issues in Biology and Psychology),Ronald J. Planer,296,,2022/04/23,to-read
"Sounds Wild and Broken: Sonic Marvels, Evolution's Creativity, and the Crisis of Sensory Extinction",David George Haskell,448,,2022/04/23,to-read
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,976,,2021/08/07,to-read
Origins of Objectivity,Tyler Burge,646,,2021/07/06,to-read
Hiking with Nietzsche: On Becoming Who You Are,John Kaag,272,2021/07/04,2021/07/03,read
"Fanged Noumena: Collected Writings, 1987–2007",Nick Land,666,2021/07/03,2021/07/03,currently-reading
Consciousness Explained,Daniel C. Dennett,511,,2021/07/03,read
Intuition Pumps & Other Tools For Thinki,Daniel C. Dennett,496,,2021/07/03,read
A Day in the Life of the Brain,Susan A. Greenfield,274,,2021/07/03,read
